secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,optionid,index_flag,issuer,exercise_style
108105,20200908,20201007,,C,1300000,2022.1,2045,0,135904072,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1400000,1922.2,1945.1,0,135904073,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1500000,1822.3,1845.2,0,135904074,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1600000,1722.4,1745.3,0,135904075,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1700000,1622.6,1645.5,0,135904076,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1800000,1522.8,1545.7,0,135904077,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,1900000,1423.1,1446,0,135904078,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2000000,1323.4,1346.3,0,135904079,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2100000,1223.8,1246.7,0,135904080,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2200000,1124.4,1147.3,0,135904081,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2250000,1074.7,1097.6,0,135904082,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2300000,1025.1,1048,0,135904083,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2350000,975.6,998.5,0,135904084,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2400000,926.1,949,0,135904085,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2450000,876.7,899.6,0,135904086,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2500000,827.4,850.3,0,135904087,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2550000,778.2,801.1,0,135904088,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2600000,729.2,752.1,0,135904089,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2650000,680.3,703.2,0,135904090,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2700000,631.6,654.5,0,135904091,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2750000,583.2,606.1,0,135904092,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2775000,559.1,582,0,135904093,1,CBOE S&P 500 INDEX,E
108105,20200908,20201007,,C,2800000,535.1,558,0,135904094,1,CBOE S&P 500 INDEX,E
