 
                                                                                                                                                                                                                                                                
 
                                                          exercise_    index_                   last_                            best_              strike_
 optionid          issuer              date    cp_flag      style       flag       exdate        date     secid    best_bid      offer    volume     price
129372837    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200602    108105     1009.00    1013.30         0    2325000
134227904    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105     1004.10    1008.30         0    2330000
134227905    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      994.10     998.30         0    2340000
129372838    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200630    108105      983.90     987.80         0    2350000
134227906    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      974.00     977.80         0    2360000
134227907    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200608    108105      964.10     968.30         0    2370000
129372839    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200617    108105      959.10     963.40         0    2375000
134227908    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      954.10     958.40         0    2380000
134227909    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      944.10     948.40         0    2390000
129372840    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200724    108105      934.20     938.40         0    2400000
134592233    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      929.20     933.10         0    2405000
134227910    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      924.20     928.10         0    2410000
134592234    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      919.00     922.90         0    2415000
134227911    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      914.10     917.90         0    2420000
129372841    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200608    108105      909.20     913.10         0    2425000
134227912    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200803    108105      904.20     908.40         0    2430000
134592235    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      899.20     903.50         0    2435000
134227913    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200629    108105      894.20     898.50         0    2440000
134592236    CBOE S&P 500 INDEX    20200908       C           E          1       20200918           .    108105      889.20     893.50         0    2445000
129372842    CBOE S&P 500 INDEX    20200908       C           E          1       20200918    20200611    108105      884.30     888.50         0    2450000
